reaction_id	pmid	source	pdf_page	match_score	supporting_quote	hl_terms	alt_page	alt_quote
ssc_M2_001	11907708	abstract		5.54	Transforming growth factor beta-1 (TGF-beta1) is secreted in a biologically inactive form and stored in the extracellular matrix as a 290 kDa complex consisting of the mature TGF-beta1 homodimer (Mr 25 kDa), the latency-associated peptide (LAP; Mr 75 kDa), and the latent TGF-beta1 binding protein-1 (LTBP1; Mr 190 kDa).	LAP|LTBP1|Transforming growth factor beta|TGF-beta1|latent		"Latent TGF-beta1, composed of these three components, is known as the ""large latent TGF-beta1 complex."" In contrast, latent TGF-beta1 without LTBP1 is known as ""small latent TGF-beta1."" For all latent forms, dissociation of the TGF-beta1 homodimer from LAP is necessary for growth factor activation and acquisition of biological activity."
ssc_M2_005	9311995	pmc		3.65	Dominant-negative Smad3 inhibited the transcriptional synergistic response by Smad2 and Smad4.	Smad3|Smad4		
ssc_M2_006	16319104	abstract		2.65	The expression levels of Smad2, Smad3 and Smad4 proteins were determined by immunoblotting.	Smad4|Smad3		
ssc_M2_007	16319104	abstract		2.65	The expression levels of Smad2, Smad3 and Smad4 proteins were determined by immunoblotting.	Smad4|Smad3		
ssc_M2_008	16319104	abstract		2.65	The expression levels of Smad2, Smad3 and Smad4 proteins were determined by immunoblotting.	Smad4|Smad3		
ssc_M2_011	27734393	abstract		3.60	Soon after its discovery, CCN2 was shown to be upregulated in response to the profibrotic cytokine transforming growth factor (TGF) β and to be constitutively overexpressed in fibrotic conditions.	CCN2|profibrotic		
ssc_M2_014	31317653	pdf	6	2.65	These data indicated that TGF-β1 increased c-jun and LOX via phosphorylation of Smad2/Smad3.	LOX|Smad3	6	To further elucidate whether TGF-β1 increased c-jun and LOX expression via phosphorylation of Smad2/Smad3, RCFs were treated with PD169316 or SB203580 (both were Smad2/3 phosphorylation inhibitors), followed by treatment with TGF-β1.
ssc_M2_015	31488698	pdf	6	3.64	LOX- and LOXL-mediated cross-linking contributes to the stiffness and mechanical properties of the ECM and tissues [76].	ECM|LOX	1	We review here the molecular features and three-dimensional structure/models of LOX and LOXLs, their role in ECM cross-linking, and the regulation of their cross-linking activity by ECM proteins, proteoglycans, and by inhibitors.
ssc_M2_016	21654799	pdf	2	3.66	1e), indicating that YAP/TAZ are primarily regulated by cell spreading imposed by the ECM.	ECM|TAZ	1	Collectively, these data indicate that YAP/TAZ activity and subcellular localization are regulated by ECM stiffness.
ssc_M2_017	21654799	abstract		2.64	These findings identify YAP/TAZ as sensors and mediators of mechanical cues instructed by the cellular microenvironment.	TAZ|YAP		Here we report the identification of the Yorkie-homologues YAP (Yes-associated protein) and TAZ (transcriptional coactivator with PDZ-binding motif, also known as WWTR1) as nuclear relays of mechanical signals exerted by ECM rigidity and cell shape.
ssc_M2_023	16319104	pdf	8	4.63	Synergistic cooperation between Sp1 and Smad3/Smad4 modulates transforming growth factor-b1 stimulation of a2(I) collagen (COL1A2) transcription.	Smad4|COL1A2|Smad3	4	Fibroblasts were co-transfected with 772 COL1A2/CAT constructs and Smad2 (A), Smad3 (B) and Smad4 (C) expression plasmids, as described in Materials and methods.
ssc_M2_024	39329703	pdf	1	2.65	The aberrant activation of YAP/TAZ in lung tissue promotes fibroblast activation and ECM accumulation.	TAZ|ECM	2	The YAP/TAZ cascade has been identified as a critical regulator of fibroblast activation and ECM synthesis in PF.
ssc_M2_025	21654799	pdf	1	2.66	We thus asked whether cell spreading is sufficient to regulate YAP/TAZ.	TAZ|YAP	3	Is then the Hippo cascade responsible for YAP/TAZ inhibition by mechanical cues?
ssc_M2_026	34282151	pdf	3	2.66	Fibroblasts expressing high levels of SFRP2 (SFRP2hi fibroblasts, Figs.	SFRP2|SFRP2hi	2	The most common dermal fibroblast is long and slender, and expresses SFRP2 and DPP4.
ssc_M2_027	34282151	pdf	1	3.63	Only a fraction of SFRP2hi SSc fibroblasts differentiate into myofibroblasts, as shown by expression of additional markers, SFRP4 and FNDC1.	SFRP4|FNDC1|SFRP2hi	8	However, if we selected 984 differentially regulated genes between SSc SFRP4+ myofibroblasts, the remaining SSc SFRP2hi cells and the control SFRP2hi fibroblasts, SCENIC detected the SMAD3 regulon.
ssc_M2_028	34282151	pdf	10	4.60	Regulon analysis implicated several unexpected TFs in regulating the transcriptome of SSc fibroblast differentiation, particularly STAT1, FOSL2, RUNX1, IRF7, HIF1A, CREB3L1, and FOXP1, as well as SMAD3.	FOSL2|RUNX1|CREB3L1|TFs	7	Clustering the TFs driving regulons plots revealed a series of TFs, including TGIF2, FOSL2, RUNX1, STAT1, and IRF7 (Fig.
ssc_M2_029	29259049	abstract		3.64	Scleroderma fibroblasts suppress angiogenesis via TGF-β/caveolin-1 dependent secretion of pigment epithelium-derived factor.	TGF-β|caveolin-1		Transforming growth factor beta (TGF-β) plays a major role in tissue fibrosis, including downregulation of caveolin-1 (Cav-1); however, its role in defective angiogenesis is less clear.
ssc_M2_030	34282151	pdf	5	5.58	Comparing these two clusters directly revealed top differentially expressed genes, including COMP and THBS1, genes highly associated with the MRSS and previously identified as biomarkers of skin disease41,42 (Supplementary data 7).	COMP|THBS1|skin|MRSS	1	The number of myofibroblasts in SSc skin correlates with the modified Rodnan skin score, the most widely used clinical measure of skin disease severity.
ssc_M2_031	24550394	abstract		4.60	Interleukin-6 (IL-6) trans signaling drives a STAT3-dependent pathway that leads to hyperactive transforming growth factor-β (TGF-β) signaling promoting SMAD3 activation and fibrosis via Gremlin protein.	STAT3|IL-6|Gremlin|TGF-β		We show that IL-6 trans signaling is important and that the effect is dependent on STAT3; however, the effect is indirect and mediated through enhanced TGF-β signaling and the classic downstream cellular mediator Smad3.
ssc_M2_032	24550394	abstract		4.60	Interleukin-6 (IL-6) trans signaling drives a STAT3-dependent pathway that leads to hyperactive transforming growth factor-β (TGF-β) signaling promoting SMAD3 activation and fibrosis via Gremlin protein.	SMAD3|Gremlin|TGF-β|IL-6		We show that IL-6 trans signaling is important and that the effect is dependent on STAT3; however, the effect is indirect and mediated through enhanced TGF-β signaling and the classic downstream cellular mediator Smad3.
ssc_M2_034	27793816	abstract		6.64	RESULTS: TGF-β upregulated GLI2 in a Smad3-dependent manner and induced nuclear accumulation and DNA binding of GLI2.	TGF-β|GLI2|Smad3|Smad3-dependent		CONCLUSIONS: Our data demonstrate that hedgehog pathways and TGF-β signalling both converge to GLI2 and that GLI2 integrates those signalling to promote tissue fibrosis.
ssc_M2_035	27793816	abstract		3.66	Fibroblast-specific knockout of GLI2 protected mice from TBRact-induced fibrosis.	GLI2|Fibroblast		The transcription factor GLI2 as a downstream mediator of transforming growth factor-β-induced fibroblast activation in SSc.
ssc_M2_037	39009409	abstract		3.62	The LPA-producing enzyme autotaxin (ATX) and LPAR1 activation contribute to inflammation and mechanisms underlying fibrosis in preclinical fibrotic models.	LPAR1|autotaxin|LPA		Lysophosphatidic acid (LPA)-mediated activation of LPA receptor 1 (LPAR1) contributes to the pathophysiology of fibrotic diseases such as idiopathic pulmonary fibrosis (IPF) and systemic sclerosis (SSc).
ssc_M2_039	28964818	pmc		2.65	In addition to TLR4, TLR2 might also play a role in mediating DAMP dependent pathogenic responses.	TLR4|DAMP		Moreover, TLR4 activation on fibroblasts dramatically enhanced its sensitivity to the profibrotic effect of TGF-β.
ssc_M2_040	10942593	abstract		4.58	CTGF stimulated a two- to threefold increase in proalpha1(I) collagen and fibronectin synthesis by both dermal and lung fibroblasts in culture and promoted significant matrix remodeling of fibroblast-populated three-dimensional collagen lattices.	CTGF|fibroblast		These data indicate that there is an overexpression of CTGF in the systemic sclerosis cells, probably due to increased gene transcription, and suggest that the dysregulation of CTGF production is an important factor in fibroblast activation and the excessive deposition of collagen in systemic sclerosis.
ssc_M2_043	23698475	abstract		2.65	The Wnt antagonists DKK1 and SFRP1 are downregulated by promoter hypermethylation in systemic sclerosis.	DKK1|Wnt		Reactivation of DKK1 and SFRP1 transcription by 5-aza inhibited canonical Wnt signalling in vitro and in vivo and effectively ameliorated experimental fibrosis.
ssc_M2_044	25303440	abstract		5.60	CONCLUSION: In patients with SSc, the accumulation of JunB resulting from altered mTOR/Akt signaling and a failure of proteolytic degradation underpins the aberrant overexpression of type I collagen.	mTOR|JunB|altered|Akt		In SSc dermal fibroblasts, increased mTOR/Akt signaling was associated with inactivation of GSK-3β, leading to blockade of JunB degradation and, thus, constitutively high expression of JunB.
ssc_M2_045	25303440	abstract		3.63	Failed degradation of JunB contributes to overproduction of type I collagen and development of dermal fibrosis in patients with systemic sclerosis.	JunB|type I collagen		CONCLUSION: In patients with SSc, the accumulation of JunB resulting from altered mTOR/Akt signaling and a failure of proteolytic degradation underpins the aberrant overexpression of type I collagen.
ssc_M2_046	21450749	abstract		2.65	Notch signalling regulates fibroblast activation and collagen release in systemic sclerosis.	fibroblast|Notch		CONCLUSION: It was shown that Notch signalling is activated in SSc and plays an important role in fibroblast activation and collagen release.
ssc_M2_048	36499646	pmc		4.66	TGFβ1 induced expression of Galectin-3 in fibroblast to myofibroblast transition.	Galectin-3|fibroblast		A recent paper measured fibroblast GAL-1 and GAL-3 expression in affected skin of patients with SSc, and reported a lower expression in scleroderma lesional skin compared with a normal control [26].
ssc_M2_049	38747285	pdf	1	6.63	Here, we demonstrate a crucial role of WNT5A/JNK/ROCK signaling that rapidly coordinates the activation of latent TGF-β in fibrotic diseases.	WNT5A|TGF-β|JNK|ROCK	12	Selective knockout of WNT5A or inhibition of its downstream mediators JNK, ROCK, or ITGAV, or of actin-polymerization prevents the increase in active TGF-β and the aberrant transcription of TGF-β target genes in experimental fibrosis.
ssc_M2_050	35159339	pdf	9	3.66	GLI2 is an important mediator of enhanced CLIC4 levels in SSc fibroblasts.	GLI2|CLIC4	6	Finally, we investigated whether β-catenin and GLI2 are required for induction of CLIC4 by TGF-β.
ssc_M2_051	33411678	pdf	1	2.65	Moreover, miR-16-5p-dependent inhibition of NOTCH2 decreased collagen and α-SMA expression.	NOTCH2|miR-16-5p	8	(A, B) miR-16-5p and NOTCH2 expression in SSc patients and healthy controls (n=30 per group).
ssc_M2_053	12875977	pmc		3.63	In cultured human and mouse fibroblasts Fli1 expression levels are inversely correlated with the collagen type I expression levels.	Fli1|collagen type I		
ssc_M2_054	22700848	pdf	9	2.68	The regulation of inflammation by galectin-3.	galectin-3	7	In addition, a-SMAþ myofibroblasts expressed galectin-3 in the double labeling.
ssc_M2_056	25040787	pdf	1	3.63	In vitro, TGF-b1-mediated H2O2 production and myofibroblast differentiation of human foetal lung mesenchymal cells were Nox4-dependent (18).	Nox4|Nox4-dependent|H2O2	1	Functional studies revealed that Nox4 induces cell activation, hypertrophy and matrix production of glomerular mesangial cells via ROS generation (13–16).
ssc_M2_058	20812964	abstract		2.64	Herein, we demonstrated that Sirt1, a putative anti-ageing enzyme, reduced MMP-9 transcriptional expression in skin.	Sirt1|MMP		The known agonists of Sirt1, resveratrol and metformin, also significantly inhibited MMP-9 expression and appeared to protect collagen from degradation after UVR.
ssc_M3_002	24412386	pdf	11	4.62	Systemic ETA receptor antagonism with BQ-123 blocks ET-1 induced forearm vasoconstriction and decreases peripheral vascular resistance in healthy men.	ET-1|ETA receptor|vasoconstriction	9	minimize the effects of ETB-mediated vasoconstriction masking differences in the ET-1 mediated vasoconstriction between control and ETA KO mice, we chose to perform the isolated artery dose responses in the presence of ETB inhibition.
ssc_M3_003	26390975	pdf	9	2.66	Another inhibitory regulator of eNOS and NO-induced vasodilation is alpha globin.	NO|eNOS	8	All human NOS isoforms (including eNOS, nNOS, and iNOS) require dimerization for efficient production of NO [149–151].
ssc_M3_004	37572934	pdf	1	4.59	The primary NO receptor is soluble guanyly/guanylate cyclase (sGC), a dimeric protein of ~150 kDa that detects NO through a ferrous heme, leading to a large change in conformation and enhanced production of cGMP from GTP.	NO|cGMP|sGC	11	Bian K, Murad F. sGC-cGMP signaling: target for anticancer therapy.
ssc_M3_009	18796538	abstract		2.65	These results indicate that Snail mediates the actions of endogenous TGFbeta signals that induce EndMT.	Snail|EndMT		
ssc_M3_011	28062404	pdf	7	4.56	Consistent with these morphofunctional changes, SSc serum-treated H-dMVECs exhibited a reduction in the expression of EC markers CD31 and VE-cadherin and an upregulation of mesenchymal markers, including α-SMA+ stress fibres, S100A4/FSP1, type I collagen and nuclear Snail1.	VE-cadherin|Snail1	1	At variance with H-dMVECs, SSc-dMVECs exhibited a spindle-shaped appearance, co-expression of lower levels of CD31 and VE-cadherin with myofibroblast markers (α-SMA+ stress fibres, S100A4 and type I collagen), constitutive nuclear localisation of the EndoMT driver Snail1 and an ability to effectively contract collagen gels.
ssc_M3_012	28062404	pdf	6	3.64	In H-dMVECs, α-SMA and type I collagen are undetectable, while expression of S100A4/FSP1 and Snail1 is negligible.	Snail1|S100A4|FSP1	6	SSc-dMVECs exhibit α-SMA+ stress fibres (shown at higher magnification in the inset), a marked increase in phalloidin+ stress fibres mainly organised longitudinally, and expression of S100A4/FSP1, type I collagen and nuclear Snail1.
ssc_M3_015	23182855	pdf	8	3.65	(1996) Isolation of angiopoietin-1, a ligand for the TIE2 receptor, by secretion-trap expression cloning.	angiopoietin-1|TIE2	1	Ang2 inhibits Ang1-induced Tie2 phosphorylation, leading to disrupted blood vessel formation in the embryo.
ssc_M3_016	40029709	pdf	1	5.63	Two highly homologous ligands, angiopoietin-1 (ANGPT1) and angiopoietin-2 (ANGPT2), compete for the same binding site on Tie2 (15–17).	angiopoietin-2|ANGPT2|Tie2|angiopoietin-1|ANGPT1	5	The oligomerization state of ANGPT1 and ANGPT2 is considered important for their ability to cluster Tie2 and to induce cross-phosphorylation of Tie2.
ssc_M3_018	28062404	pdf	7	4.56	Consistent with these morphofunctional changes, SSc serum-treated H-dMVECs exhibited a reduction in the expression of EC markers CD31 and VE-cadherin and an upregulation of mesenchymal markers, including α-SMA+ stress fibres, S100A4/FSP1, type I collagen and nuclear Snail1.	VE-cadherin|CD31|Snail1	1	At variance with H-dMVECs, SSc-dMVECs exhibited a spindle-shaped appearance, co-expression of lower levels of CD31 and VE-cadherin with myofibroblast markers (α-SMA+ stress fibres, S100A4 and type I collagen), constitutive nuclear localisation of the EndoMT driver Snail1 and an ability to effectively contract collagen gels.
ssc_M3_021	19838011	abstract		3.61	Multiple transcription factors, including deltaEF1/ZEB1, SIP1/ZEB2, and Snail/SNAI1, are induced by TGF-beta-Smad signaling and play critical roles in TGF-beta-induced EMT.	ZEB2|SIP1|ZEB1		
ssc_M3_022	31868216	pdf	5	3.60	Co-culture of VSMCs with endothelial cells also increases expression of Notch3, an effect that is inhibited by Jag1-deficient endothelial cells indicating auto-regulation of Notch in vascular cells [53].	Notch3|Jag1	8	Exposure of neonatal mouse pups to chronic hypoxia (13% O2) to induce PH significantly increases pulmonary expression of Notch3 and Notch-related genes including Hes5, Jag1 and ADAM17, as well as up-regulating expression of anti-apoptotic BCL2L1 (Bcl-xL), and cell cycle promoter CCND1 (Cyclin D) [85].
ssc_M3_023	28062404	pdf	6	2.81	(C) Protein lysates from H-dMVECs and SSc-dMVECs were assayed for the expression of CD31, VE-cadherin, α-SMA, S100A4/FSP1, type I collagen, Snail1 and Friend leukaemia integration-1 (Fli1).	Fli1|VE-cadherin	5	In the dermis of bleomycin-treated mice and urokinase-type plasminogen activator receptor (uPAR)deficient mice, co-localisation of either CD31 or VE-cadherin and α-SMA gives rise to yellow staining, which is evident in transitional EndoMT cells of numerous microvessels (arrows).
ssc_M3_024	28062404	pdf	1	3.65	Matrix metalloproteinase-12-dependent uPAR cleavage was implicated in the induction of EndoMT by SSc sera.	uPAR|EndoMT	8	Besides MMP-12, additional as yet unidentified circulating factors might trigger EndoMT and the loss of microvascular integrity in SSc dermis.
ssc_M3_025	9595482	abstract		4.61	Collagen type I, collagen type III, and MMP-1 levels in culture supernatants were measured by competition ELISA and cellular mRNA expression was examined by Northern blotting.	Collagen type I|collagen type III|III		ET-1 enhanced release of collagen types I and III by control and SSc fibroblast strains, but the effects were significantly greater for control cells (p < 0.05).
ssc_M3_026	26970493	pdf	7	7.60	In this context, stimulating anti-AT1R and anti-ETAR derived from SSc patients induce a variety of cellular responses such as production of TGF-β by human dermal microvascular endothelial cells [9].	production|TGF-β|ETAR|anti-AT1R|anti-ETAR	20	Overview of cellular and systemic events induced by stimulating anti-AT1R and anti-ETAR. autoantibodies.
ssc_M3_027	19335743	pdf	8	4.66	Signalling and regulation of collagen I synthesis by ET-1 and TGF-beta1.	TGF-beta1|ET-1	5	Transforming growth factor beta induces ET-1 in fibroblasts through a JNK-dependent Smad-independent mechanism [9].
ssc_M4_001	29930549	pdf	5	2.67	Regulation of Th2 differentiation and IL4 locus accessibility.	IL4|Th2		
ssc_M4_003	29930549	pmc		4.62	However, lowering the IL-13/IL-13Rα1-binding capability to IL-4Rα requires a substantial decrease in the second binding step to result in lowered STAT6 activation (22).	STAT6|IL-4R|IL-13R|IL-13		The Jak kinases, associated with γc (Jak3), IL-4Rα (Jak1), or IL-13Rα1 (Tyk2, Jak2), will auto- and cross-phosphorylate each other, resulting in their activation and the subsequent tyrosine (Y) phosphorylation of critical Y residues in IL-4Rα chain.
ssc_M4_004	33991851	pdf	1	1.67	STAT6 signaling pathway activation demands its phosphorylation.	STAT6	4	8) showing STAT6 (Y361) cytoplasmic expression by tumor cells (DABx400).
ssc_M4_006	24786134	pdf	3	4.63	Notch signaling in activated CD4+ T cells promotes GATA3 transcription and Th2 differentiation independent of IL4-STAT6 signal [24–26].	GATA3|Th2|CD4	4	Many GATA3 binding sites, e.g. the ones within Ctla4 and Icos loci, are shared by different T cell subsets including thymocytes, CD4+ T, CD8+ T, Treg cells, Th1, Th2, Th17 and NKT cells.
ssc_M4_007	9852257	pdf	2	6.63	Several PTKs including Src family PTKs (Lyn, Fyn, Lek, and Blk), Syk, Btk and Csk have been shown to be involved in BCR signaling.	BCR|Syk|Btk|Blk|Lyn	1	Stimulation of the BCR leads to the activation of three types of intracellular protein tyrosine kinases Lyn, Syk, and Btk.
ssc_M4_008	37683180	pdf	15	4.67	Loss of CD20 expression in relapsed lymphomas after rituximab therapy.	CD20|rituximab	10	Shifting CD20 splicing toward V3 and V4 increases CD20 protein expression and rituximab-mediated cytotoxicity.
ssc_M4_009	36081178	abstract		4.64	Regulatory network of BLIMP1, IRF4, and XBP1 triad in plasmacytic differentiation and multiple myeloma pathogenesis.	BLIMP1|XBP1|IRF4		The interplay between three hallmark transcriptional regulators IRF4, BLIMP1, and XBP1, is critical for supporting the cellular reprograming activities during B to plasma cell transition.
ssc_M4_012	38990948	pdf	7	5.63	Also, none of these studies disentangled contributions of APRIL, BAFF, and their heteromers binding to BAFFR, BCMA, TACI, and proteoglycans.	BAFF|BCMA|APRIL	2	BAFF, APRIL, and their heteromers share two receptors, transmembrane activator and CAML interactor (TACI) and B cell maturation antigen (BCMA).
ssc_M4_013	28847903	pdf	6	7.09	NONCANONICAL Th SUBSETS THAT COEXPRESS MULTIPLE MASTER REGULATORS Master regulators are usually expressed in a celltype-specific manner (i.e., T-bet for Th1, GATA3 for Th2, RORγt for Th17, and Foxp3 for Treg cells) (Fig.	GATA3|Foxp3|Th|Th2|Th1|Treg|Th17	10	Furthermore, effector cell–related transcription factors can be expressed by Foxp3-expressing Treg cells, resulting in massively heterogeneous Th effector and regulatory populations.
ssc_M4_014	34759017	pdf	1	4.64	The transcription factor IRF4, induced upon BCR and CD40 signaling, is essential for the acquisition of PC and GCB cell fates.	BCR|CD40|IRF4	6	Expression levels of IRF4 regulate activated antigen specific B cell fate choices.
ssc_M4_016	31234888	abstract		2.91	RESULTS: MTT showed that anti-Cenp-B/anti-Topo-I IgGs and anti-Cenp-B+/anti-Topo-I+ sera reduced viability (in a dilution-dependent manner for IgGs) for all the fibroblast populations.	fibroblast|anti-Topo-I|anti-Cenp-B		
ssc_M4_017	32707718	pmc		2.62	Thus, in a hypothetical model, CXCL4–DNA/RNA complexes stimulate pDCs, IFN-I and B-cells, to boost autoantibody production, including antibodies to CXCL4.	production|CXCL4		CXCL4 binds DNA/RNA and favors interferon (IFN)-α production by plasmacytoid dendritic cells (pDCs), contributing to the type I IFN (IFN-I) signature in SSc patients.
ssc_M4_019	27156795	pdf	2	2.60	Macrophage-derived TGFb stimulates myofibroblasts to produce various extracellular matrix (ECM) proteins and inhibitors of metalloproteases that are involved in the degradation of the matrix proteins [9].	Macrophage|Macrophage-derived		
ssc_M4_020	29956883	pdf	2	3.61	CD19 inhibition in mice reduced skin thickness, collagen production, and autoantibody levels, consistent with CD19 expression on plasma cells (PCs), the source of antibody production.	CD19|production	3	In animal models of SSc, decreased B-cell function following CD19 inhibition leads to reduced skin fibrosis and a reduction in autoantibody production, which is consistent with the expression of CD19 on plasma cells (PC), the source of autoantibody production (5, 13-15).
ssc_M4_021	22833167	pdf	1	2.64	Furthermore, a skin fibroblast cell line expressed increased TGF, CTGF, and collagen after the addition of recombinant IL-17A.	fibroblast|IL-17A	8	Although IL-17A has been shown to promote fibroblast proliferation, the direct effect of IL-17A on collagen synthesis in humans has not been reported (11).
ssc_crosstalk_001	35686918	abstract		3.65	DNA from macrophages induced type I IFN signature of fibroblasts and ECs through POLR3A/STING pathway.	type I IFN|IFN		After H151 treatment or knocking down POLR3A/STING, type I IFN response, monocytes adhesion and activation of fibroblasts and HUVECs were evaluated.
ssc_crosstalk_002	24350901	pmc		1.04	During an investigation of the gene-expression profile in mice that were treated with CXCL4 for 7 days, we found increased mRNA expression of tumor necrosis factor α, IFIT1, and MX2, the products of type I interferon-inducible genes; of the profibrotic marker PAI-1; and of the antiangiogenic factor thrombospondin 1 (Fig.	profibrotic|CXCL4		
ssc_crosstalk_003	40341181	pmc		2.65	TANK-binding kinase 1 mediates type I interferon production and is implicated in B cell functions.	type I interferon		Amlexanox inhibited production of type I IFN induced through endosomal and cytosolic routes in PBMCs.
ssc_crosstalk_004	24550394	pmc		4.59	IL-6 is a profibrotic cytokine that is elevated in the prototypic fibrotic autoimmune condition systemic sclerosis and is known to induce collagen I expression, but the mechanism(s) behind this induction are currently unknown.	profibrotic|collagen I|IL-6		Results: IL-6 mediates fibrosis via a STAT3- and Smad3-dependent pathway mediated via a novel cytokine, Gremlin.
ssc_crosstalk_005	15271999	abstract		2.66	IL-13 induced type I collagen protein as well as mRNA in a dose-dependent manner.	type I collagen|IL-13		These results suggest that IL-13 may play a role in the regulation of extracellular matrix and indicate the possible therapeutic value of the blockade of IL-13 signaling pathways via PI3K and STAT6 in fibrosis.
ssc_crosstalk_006	21425122	pmc		4.67	Treatment with TGF-β1 increased Snail-1 expression.	TGF-β1|Snail-1		TGF-β1 induced α-SMA and type I collagen expression and inhibited VE-Cadherin.
ssc_crosstalk_008	27734393	abstract		3.60	Soon after its discovery, CCN2 was shown to be upregulated in response to the profibrotic cytokine transforming growth factor (TGF) β and to be constitutively overexpressed in fibrotic conditions.	CCN2|profibrotic		
