reaction_id	module	type	mechanism	reactants	products	modifiers	ssc_relevance	evidence_code	validation_status	lit_search_needed	suggested_action
ssc_M3_005	M3	catalysis	PDE5A degrades cGMP	cGMP__cyto	GMP__cyto	PDE5A__cyto	sildenafil/tadalafil target in SSc Raynaud + digital ulcers	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_006	M3	state_change	Hypoxia activates HIF1A, which moves to nucleus to drive transcription	HIF1A__nuc	HIF1A_active__nuc		skin hypoxia in SSc vasculopathy	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_007	M3	transcription	HIF1A induces EDN1 and VEGFA transcription	HIF1A_active__nuc	EDN1__ext;VEGFA__ext	HIF1A_active__nuc	hypoxia → endothelin + angiogenic signal	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_008	M3	binding	VEGFA binds KDR (VEGFR2) on endothelial cells	VEGFA__ext;KDR__ext	VEGFA_KDR_complex__pm		endothelial maintenance; impaired angiogenesis in SSc	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_011	M3	transcription	SNAI1/SNAI2 represses CDH5 (VE-cadherin) transcription	CDH5__pm	CDH5_repressed__pm	SNAI1__nuc;SNAI2__nuc	loss of endothelial identity in EndMT	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_012	M3	transcription	SNAI1/SNAI2 + TGF-β induces CDH2 (N-cadherin) + FAP + FSP1 (mesenchymal markers)	SNAI1__nuc;SNAI2__nuc	CDH2__pm;FAP__pm;FSP1__pm		gain of mesenchymal markers	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_013	M3	contributes	EndMT-converted endothelial cell becomes perivascular fibroblast, joins myofibroblast pool	CDH2__pm;FAP__pm	phenotype_myofibroblast_activation__cell		bridge from M3 to M2 myofibroblast pool	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_014	M3	contributes	Reduced NO + elevated EDN1 + capillary loss → vascular remodelling phenotype	EDN1_EDNRA_complex__pm;cGMP__cyto;VEGFA_KDR_complex__pm	phenotype_vascular_remodelling__cell		clinical readout: nailfold capillaroscopy giant capillaries + dropout	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_015	M3	binding	ANGPT1 binds TEK on endothelial cells, stabilises quiescent vasculature	ANGPT1__ext;TEK__pm	ANGPT1_TEK_complex__pm		vascular stabilisation; reduced in SSc skin	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_016	M3	binding	ANGPT2 competes with ANGPT1 at TEK, destabilises endothelium	ANGPT2__ext;TEK__pm	ANGPT2_TEK_complex__pm		Tie2 antagonism; elevated in SSc plasma	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_017	M3	transcription	SNAI1/2 + TGF-β induces TWIST1 transcription (third EMT-master TF)	SMAD3p_SMAD4__nuc;SNAI1__nuc	TWIST1__nuc	SMAD3p_SMAD4__nuc;SNAI1__nuc	completes the EndMT TF triplet	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_018	M3	transcription	SNAI1/2 represses CDH5 + PECAM1 + VWF + TEK transcription (loss of endothelial identity)	CDH5__pm;CD31__pm;VWF__pm;TEK__pm	CDH5_repressed__pm	SNAI1__nuc;SNAI2__nuc	canonical EndMT loss-of-identity panel	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_019	M3	catalysis	COX-2 (PTGS2) produces thromboxane TXA2, signals via TBXA2R for vasoconstriction	COX_2__er	TBXA2R_signal__pm	TBXA2R__pm	COX-2/TXA2 axis; SSc digital ischaemia	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_020	M3	transcription	HIF1A under hypoxia partners with ARNT in nucleus	HIF1A_active__nuc;ARNT__cyto	HIF1A_ARNT__nuc		HIF1A complex assembly	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_021	M3	transcription	SMAD3 + Notch (NICD1) cooperatively induces ZEB2	SMAD3p_SMAD4__nuc;NICD1__cyto	ZEB2__nuc	SMAD3p_SMAD4__nuc;NICD1__cyto	parallel EndMT TF to SNAI/ZEB1	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M3_022	M3	binding	NOTCH3 receptor on smooth-muscle/pericyte engaged by ligands (cross-Notch with M3 vasculopathy)	NOTCH3__pm;JAG1__cyto	NOTCH3_JAG1_complex__pm	RBPJ__pm	NOTCH3 mutations cause CADASIL; pericyte axis in SSc	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_001	M4	binding	IL-4 binds IL-4Rα	IL4__ext;IL4R__ext	IL4_IL4R_complex__pm		Th2 cytokine receptor binding	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_002	M4	binding	IL-13 binds IL-13Rα1/IL-4Rα heterodimer	IL13__ext;IL13RA1__ext;IL4R__ext	IL13_complex__pm		Th2 receptor; romilkimab target in SSc trials	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_004	M4	state_change	Phospho-STAT6 dimerises and translocates to nucleus	STAT6_p__cyto	STAT6_p_dimer__nuc		canonical TF activation	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_006	M4	transcription	GATA3 commits naïve CD4 T cells to Th2 lineage	GATA3__nuc	Th2_cell__cell	GATA3__nuc	Th2 differentiation; secretes IL-4/IL-13	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_007	M4	activation	BCR engagement activates CD79A/CD79B → SYK/BLK/LYN → BTK → PLCγ2	CD79A__pm;CD79B__pm	BCR_activated__cell	SYK__cyto;BTK__cyto;BLK__cyto;LYN__cyto	B-cell receptor signaling; ibrutinib (BTK inhibitor) anti-fibrotic rationale	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_008	M4	binding	CD20 (MS4A1) is the rituximab binding target on mature B cells	MS4A1__pm	rituximab_bound_Bcell__pm		RECITAL trial target in SSc-ILD	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_011	M4	contributes	Plasma cells secrete anti-Topo-I, anti-RNApol-III, anti-CENP-A/B autoantibodies	BLIMP1__nuc;XBP1__nuc;IRF4__nuc	phenotype_autoAb_production__ext		SSc-defining autoAb signatures	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_012	M4	binding	BAFF (TNFSF13B) + APRIL (TNFSF13) bind BCMA on plasma cells	TNFSF13B__ext;TNFSF13__ext;BCMA__ext	BAFF_BCMA__pm		survival signal; belimumab target	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_013	M4	transcription	GATA3, TBX21, FOXP3, RORC drive Th2 / Th1 / Treg / Th17 lineage commitment respectively	GATA3__nuc;TBX21__nuc;FOXP3__nuc;RORC__nuc	Th_lineage_committed__cell		T-helper lineage anchors	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_014	M4	activation	Activated B cell BCR + CD40-CD40L → CD22 modulation and IRF4 induction	BCR_activated__cell;CD22__pm;CD40__pm;CD154__pm	IRF4__nuc;XBP1__nuc;BLIMP1__nuc;CD19__pm;MS4A1__pm		full B-cell activation surface	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_M4_015	M4	contributes	Th1 IFN-γ + Th2 IL-4/IL-13 + Th17 IL-17 + Treg balance shapes the autoAb output	Th_lineage_committed__cell	phenotype_autoAb_production__ext		Th balance drives chronicity in SSc	ECO:0000305	untested	True	co-author literature pass: find primary PMID or downgrade/remove
ssc_crosstalk_001	crosstalk	activation	IFN-I primes dermal fibroblasts toward pro-fibrotic transcriptional state (M1→M2)	IFNB1__ext;IFNA1__ext	fibroblast_proFibrotic__cell		IFN priming; modulates TGF-β-driven fibroblast response	ECO:0000305	STRING-not-confirmed (0/10 pairs >=0.700, max 0.57)	True	cell-state-level assertion not captured by protein-protein STRING graph; needs targeted primary-literature citation or explicit reclassification as a conceptual bridge
ssc_crosstalk_003	crosstalk	activation	IFN-I primes pDC and B-cell class switching (M1→M4)	IFNB1__ext;IFNA1__ext	pDC_activated__cell;BCR_activated__cell		IFN-I drives adaptive immune amplification	ECO:0000305	STRING-confirmed (9/16 pairs >=0.700, max 0.978)	False	independent STRING support; PMID still desirable but lower priority
ssc_crosstalk_007	crosstalk	state_change	EndMT-derived perivascular fibroblasts join myofibroblast pool (M3→M2)	CDH2__pm;FAP__pm	phenotype_myofibroblast_activation__cell		conceptual bridge; explains perivascular fibrosis distribution	ECO:0000305	STRING-not-confirmed (0/10 pairs >=0.700, max 0.652)	True	cell-state-level assertion not captured by protein-protein STRING graph; needs targeted primary-literature citation or explicit reclassification as a conceptual bridge
