reaction_id	module	type	mechanism	reactants	products	modifiers	pmid	evidence_code	ssc_relevance	notes	curation_status	candidate_pmids	provenance	ratification	secondary_pmids
ssc_M2_001	M2	state_change	Latent TGF-β1 complex (LAP + LTBP1) released from ECM via αvβ6/αvβ3 integrin contraction (mechanotransduction)	LAP__ecm;LTBP1__ecm	TGFB1__ext		11907708	ECO:0000314	TGF-β activation is rate-limiting; mechanotransduction central to SSc skin fibroblast feedback	Munger 1999 lineage of work; pmid corrected 2026-06-24 (verified vs PubMed) (was 11257233)	confirmed		original-curation	human-original	24216753
ssc_M2_002	M2	state_change	Thrombospondin-1 (THBS1) alternative latent TGF-β1 activation route	THBS1__ecm;LAP__ecm	TGFB1__ext		7929414	ECO:0000314	auxiliary TGF-β activation in SSc skin	pmid corrected 2026-06-24 (verified vs PubMed) (was 7935446)	confirmed		original-curation	human-original	10708953
ssc_M2_003	M2	binding	Mature TGF-β1 binds TGFBR2 + TGFBR1 (already-imported Reactome complex represented as TGFB1_TGFBR2_TGFBR1__cyto)	TGFB1__ext	TGFB1_TGFBR2_TGFBR1__cyto		8047140	ECO:0000314	canonical receptor binding	pmid corrected 2026-06-24 (verified vs PubMed) (was 7774572)	confirmed		original-curation	human-original	
ssc_M2_004	M2	phosphorylation	Active TGFBR1 phosphorylates SMAD2 and SMAD3	SMAD3__cyto	SMAD3_p__cyto	TGFB1_TGFBR2_p_TGFBR1__cyto	8980228	ECO:0000314	receptor-SMAD activation	pmid corrected 2026-06-24 (verified vs PubMed) (was 8674513)	confirmed		original-curation	human-original	
ssc_M2_005	M2	binding	Phospho-SMAD3 oligomerises with SMAD4 and translocates to nucleus	SMAD3_p__cyto;SMAD4__cyto	SMAD3p_SMAD4__nuc		9311995	ECO:0000353	nuclear translocation of the R-SMAD/co-SMAD complex	pmid corrected 2026-06-24 (verified vs PubMed) (was 9748228)	confirmed		original-curation	human-original	
ssc_M2_006	M2	transcription	SMAD3:SMAD4 binds COL1A1 promoter SBE, induces transcription	SMAD3p_SMAD4__nuc	COL1A1__ext	SMAD3p_SMAD4__nuc	16319104	ECO:0000314	primary ECM output in SSc fibroblasts; pirfenidone target	pmid corrected 2026-06-24 (verified vs PubMed) (was 10497222)	confirmed		original-curation	human-original	
ssc_M2_007	M2	transcription	SMAD3:SMAD4 induces COL3A1 transcription	SMAD3p_SMAD4__nuc	COL3A1__ext	SMAD3p_SMAD4__nuc	16319104	ECO:0000314	parallel ECM output	pmid corrected 2026-06-24 (verified vs PubMed) (was 10497222)	confirmed		original-curation	human-original	
ssc_M2_008	M2	transcription	SMAD3:SMAD4 induces FN1 (fibronectin-EDA) transcription	SMAD3p_SMAD4__nuc	FN1__ecm	SMAD3p_SMAD4__nuc	16319104	ECO:0000270	matricellular output	pmid corrected 2026-06-24 (verified vs PubMed) (was 10497222)	confirmed		original-curation	human-original	
ssc_M2_009	M2	transcription	SMAD3:SMAD4 induces ACTA2 (αSMA) transcription	SMAD3p_SMAD4__nuc	ACTA2__cyto	SMAD3p_SMAD4__nuc	12702545	ECO:0000314	canonical myofibroblast marker	pmid corrected 2026-06-24 (verified vs PubMed) (was 8616204)	confirmed		original-curation	human-original	
ssc_M2_010	M2	transcription	SMAD3:SMAD4 induces CTGF (CCN2) transcription	SMAD3p_SMAD4__nuc	CCN2__ext	SMAD3p_SMAD4__nuc	27734393	ECO:0000314	matricellular amplifier; elevated in SSc skin biopsies	Igarashi/Trojanowska SSc skin; pmid corrected 2026-06-24 (verified vs PubMed) (was 16007098)	confirmed		original-curation	human-original	11698729
ssc_M2_011	M2	activation	Secreted CTGF acts on fibroblast autocrine loop, amplifies pro-fibrotic state	CCN2__ext	fibroblast_proFibrotic__cell		27734393	ECO:0000270	autocrine amplifier — pamrevlumab clinical target	pmid corrected 2026-06-24 (verified vs PubMed) (was 16007098)	confirmed		original-curation	human-original	11698729
ssc_M2_012	M2	transcription	SMAD3:SMAD4 induces POSTN transcription	SMAD3p_SMAD4__nuc	POSTN__ecm	SMAD3p_SMAD4__nuc		ECO:0000270	matricellular; elevated in SSc skin	co-author upgrade PMID; WRONG PMID 22186371 removed; mechanism under expert review — POSTN canonically IL-4/IL-13-induced (cand 16815144), SMAD3 directness unconfirmed (2026-06-24)	to_complete	16815144	original-curation	human-original	
ssc_M2_013	M2	transcription	SMAD3:SMAD4 induces COMP transcription	SMAD3p_SMAD4__nuc	COMP__ecm	SMAD3p_SMAD4__nuc	18408251	ECO:0000270	matricellular SSc-specific marker	co-author upgrade PMID; pmid corrected 2026-06-24 (verified vs PubMed) (was 22197582)	confirmed		original-curation	human-original	16520029
ssc_M2_014	M2	transcription	SMAD3:SMAD4 induces LOX/LOXL2 transcription	SMAD3p_SMAD4__nuc	LOX__ecm;LOXL2__ecm	SMAD3p_SMAD4__nuc	31317653	ECO:0000314	collagen cross-linking enzymes; LOXL2 anti-fibrotic target (simtuzumab fail but rationale stands)	co-author upgrade	confirmed	26747705;35541902;40064862	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M2_015	M2	catalysis	LOX/LOXL2 cross-link collagens, stiffen ECM	COL1A1__ext;COL3A1__ext	stiffened_ECM__ecm	LOX__ecm;LOXL2__ecm	31488698	ECO:0000033	matures fibrosis; mechanical feedback to YAP/TAZ	-	confirmed	32176358;37328872;38283827	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M2_016	M2	state_change	ECM stiffness activates RHOA → ROCK1/2 → YAP1/TAZ nuclear translocation	stiffened_ECM__ecm	YAP1_TAZ_active__nuc	RHOA__cyto;ROCK1__cyto;ROCK2__cyto	21654799	ECO:0000314	mechanotransduction loop; verteporfin candidate	-	confirmed	37032648;35273164;38499763	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M2_017	M2	transcription	Active YAP1/TAZ induces ACTA2 and CTGF transcription (parallel to SMAD)	YAP1_TAZ_active__nuc	ACTA2__cyto;CCN2__ext	YAP1_TAZ_active__nuc	21654799	ECO:0000314	YAP/TAZ-driven fibroblast contractility	pmid corrected 2026-06-24 (verified vs PubMed) (was 21343339)	confirmed		original-curation	human-original	
ssc_M2_018	M2	transcription	FRA-2 (FOSL2) cooperates with SMAD/AP-1 to induce COL1A1 + ACTA2	FOSL2__nuc	COL1A1__ext;ACTA2__cyto	FOSL2__nuc	20039427	ECO:0000314	FRA-2 transgenic mouse phenocopies SSc skin/lung fibrosis	Maurer/Distler line	confirmed		original-curation	human-original	
ssc_M2_019	M2	binding	FRA-2 binds TBX2 cooperatively in SSc dermal fibroblasts	FOSL2__nuc;TBX2__nuc	FOSL2_TBX2__nuc			ECO:0000305	TBX2 as a SSc-fibroblast transcriptional cofactor	mis-citation PMID 25381232 (off-topic Microcystis paper) removed 2026-06-29; FRA-2/TBX2 cooperation is curator inference, no primary source found	confirmed		original-curation	human-original	
ssc_M2_020	M2	transcription	PDGF-AA/BB binds PDGFRA/PDGFRB, drives fibroblast proliferation	PDGFA__ext;PDGFB__ext	fibroblast_proFibrotic__cell	PDGFRA__cyto;PDGFRB__pm	9739761	ECO:0000314	PDGFR signaling; nintedanib SSc-ILD target (SENSCIS positive)	-	confirmed		original-curation	human-original	
ssc_M2_021	M2	contributes	Activated fibroblast with ACTA2+ stress fibers becomes myofibroblast	ACTA2__cyto;fibroblast_proFibrotic__cell	phenotype_myofibroblast_activation__cell			ECO:0000305	disease-defining cellular phenotype	-	phenotype_aggregation		claude-reclassify/2026-06-05	AI-verified 2026-06-08 (reclassification)	
ssc_M2_022	M2	contributes	Sustained collagen/FN1/POSTN/COMP/CTGF/LOX deposition is ECM deposition phenotype	COL1A1__ext;COL3A1__ext;FN1__ecm;POSTN__ecm;COMP__ecm;CCN2__ext	phenotype_ECM_deposition__ecm			ECO:0000305	clinical readout aligned with mRSS	-	phenotype_aggregation		claude-reclassify/2026-06-05	AI-verified 2026-06-08 (reclassification)	
ssc_M3_001	M3	binding	EDN1 secreted by endothelial cells binds EDNRA + EDNRB on VSMC and fibroblasts	EDN1__ext	EDN1_EDNRA_complex__pm	EDNRA__pm;EDNRB__pm	24708674	ECO:0000314	endothelin axis; bosentan/macitentan target in SSc digital ulcers/PAH	pmid corrected 2026-06-24 (verified vs PubMed) (was 8389755)	confirmed		original-curation	human-original	21184655
ssc_M3_002	M3	state_change	EDN1:EDNRA → Gq/PLC → IP3 → cytosolic Ca²⁺ → smooth-muscle contraction (vasoconstriction)	EDN1_EDNRA_complex__pm	vasoconstriction__cell		24412386	ECO:0000314	vasomotor tone; SSc Raynaud + intimal proliferation	-	confirmed	40245183;29786110;31734650	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_003	M3	catalysis	eNOS (NOS3) in endothelial cells produces NO	NOS3__pm	NO__ext		26390975	ECO:0000033	vasoprotective axis; impaired in SSc vasculopathy	-	confirmed		fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_004	M3	catalysis	NO activates soluble guanylate cyclase (sGC) to produce cGMP	NO__ext	cGMP__cyto		37572934	ECO:0000033	riociguat target (sGC stimulator) — SSc-PAH (RISE-SSc)	-	confirmed	28533362;14987573;40856046	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_005	M3	catalysis	PDE5A degrades cGMP	cGMP__cyto	GMP__cyto	PDE5A__cyto	12135389	ECO:0000314	sildenafil/tadalafil target in SSc Raynaud + digital ulcers	- | paywalled — canonical mechanism, abstract-verified; full-text not required (tiered policy)	confirmed	23117837;36252813;32503314	claude-lit-mine/2026-06-05	AI-verified 2026-06-08	
ssc_M3_006	M3	state_change	Hypoxia activates HIF1A, which moves to nucleus to drive transcription	HIF1A__nuc	HIF1A_active__nuc		9278140	ECO:0000033	skin hypoxia in SSc vasculopathy	- | paywalled — canonical mechanism, abstract-verified; full-text not required (tiered policy)	confirmed	39265983;34762860;35659268	claude-lit-mine/2026-06-05	AI-verified 2026-06-08	
ssc_M3_007	M3	transcription	HIF1A induces EDN1 and VEGFA transcription	HIF1A_active__nuc	EDN1__ext;VEGFA__ext	HIF1A_active__nuc	9278140	ECO:0000033	hypoxia → endothelin + angiogenic signal	- | paywalled — canonical mechanism, abstract-verified; full-text not required (tiered policy)	confirmed	31734650;34762860;32968110	claude-lit-mine/2026-06-05	AI-verified 2026-06-08	
ssc_M3_008	M3	binding	VEGFA binds KDR (VEGFR2) on endothelial cells	VEGFA__ext;KDR__ext	VEGFA_KDR_complex__pm		30173249	ECO:0000033	endothelial maintenance; impaired angiogenesis in SSc	- | paywalled — canonical mechanism, abstract-verified; full-text not required (tiered policy)	confirmed	38029740;39201294;30173249	claude-lit-mine/2026-06-05	AI-verified 2026-06-08	
ssc_M3_009	M3	transcription	TGF-β-activated SMAD3 induces SNAI1 transcription in endothelial cells (EndMT trigger)	SMAD3p_SMAD4__nuc	SNAI1__nuc	SMAD3p_SMAD4__nuc	18796538	ECO:0000314	canonical EndMT initiator; downstream of M2 TGF-β	-	confirmed		original-curation	human-original	
ssc_M3_010	M3	transcription	SMAD3 + Notch (NICD1) cooperatively induce SNAI2/ZEB1/ZEB2	SMAD3p_SMAD4__nuc;NICD1__cyto	SNAI2__nuc;ZEB1__nuc	SMAD3p_SMAD4__nuc;NICD1__cyto	24969754	ECO:0000270	cooperative EMT/EndMT TF network	pmid corrected 2026-06-24 (verified vs PubMed) (was 24316708)	confirmed		original-curation	human-original	28062404
ssc_M3_011	M3	transcription	SNAI1/SNAI2 represses CDH5 (VE-cadherin) transcription	CDH5__pm	CDH5_repressed__pm	SNAI1__nuc;SNAI2__nuc	28062404	ECO:0000033	loss of endothelial identity in EndMT	-	confirmed	38451818;39913299;23665016	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_012	M3	transcription	SNAI1/SNAI2 + TGF-β induces CDH2 (N-cadherin) + FAP + FSP1 (mesenchymal markers)	SNAI1__nuc;SNAI2__nuc	CDH2__pm;FAP__pm;FSP1__pm		28062404	ECO:0000314	gain of mesenchymal markers	-	confirmed	39011470;35196191;27211863	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_013	M3	contributes	EndMT-converted endothelial cell becomes perivascular fibroblast, joins myofibroblast pool	CDH2__pm;FAP__pm	phenotype_myofibroblast_activation__cell		28062404	ECO:0000270	bridge from M3 to M2 myofibroblast pool	citation attached 2026-06-19 (reclassify-audit): EndoMT endothelial cells acquire alpha-SMA myofibroblast phenotype in SSc dermal fibrosis (PMID 28062404; review 33772754).	conceptual_bridge	33772754	claude-reclassify/2026-06-05	AI-verified 2026-06-08 (reclassification)	
ssc_M3_014	M3	contributes	Reduced NO + elevated EDN1 + capillary loss → vascular remodelling phenotype	EDN1_EDNRA_complex__pm;cGMP__cyto;VEGFA_KDR_complex__pm	phenotype_vascular_remodelling__cell			ECO:0000305	clinical readout: nailfold capillaroscopy giant capillaries + dropout	-	phenotype_aggregation		claude-reclassify/2026-06-05	AI-verified 2026-06-08 (reclassification)	
ssc_M4_001	M4	binding	IL-4 binds IL-4Rα	IL4__ext;IL4R__ext	IL4_IL4R_complex__pm		29930549	ECO:0000033	Th2 cytokine receptor binding	-	confirmed	31505066;33135058;27000232	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_002	M4	binding	IL-13 binds IL-13Rα1/IL-4Rα heterodimer	IL13__ext;IL13RA1__ext;IL4R__ext	IL13_complex__pm		29930549	ECO:0000033	Th2 receptor; romilkimab target in SSc trials	-	confirmed	40403128;18161745;40198135	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_003	M4	phosphorylation	IL-4R / IL-13R complexes activate JAK1/JAK2, which phosphorylate STAT6	IL4_IL4R_complex__pm;IL13_complex__pm	STAT6_p__cyto	JAK1__cyto;JAK2__cyto	29930549	ECO:0000314	canonical STAT6 activation; pathway-defining for Th2/IL-13	pmid corrected 2026-06-24 (verified vs PubMed) (was 11526389)	confirmed		original-curation	human-original	
ssc_M4_004	M4	state_change	Phospho-STAT6 dimerises and translocates to nucleus	STAT6_p__cyto	STAT6_p_dimer__nuc		33991851	ECO:0000033	canonical TF activation	-	confirmed	33293423;38773984;38906855	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_005	M4	transcription	Nuclear STAT6 induces ECM gene transcription in fibroblasts (COL1A1, COL3A1, FN1)	STAT6_p_dimer__nuc	COL1A1__ext;COL3A1__ext;FN1__ecm	STAT6_p_dimer__nuc	15271999	ECO:0000314	M4 → M2 crosstalk; romilkimab/dupilumab rationale	pmid corrected 2026-06-24 (verified vs PubMed) (was 17050694)	confirmed		original-curation	human-original	36757802
ssc_M4_006	M4	transcription	GATA3 commits naïve CD4 T cells to Th2 lineage	GATA3__nuc	Th2_cell__cell	GATA3__nuc	24786134	ECO:0000033	Th2 differentiation; secretes IL-4/IL-13	-	confirmed	38923989;39609127;36463230	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_007	M5	activation	BCR engagement activates CD79A/CD79B → SYK/BLK/LYN → BTK → PLCγ2	CD79A__pm;CD79B__pm	BCR_activated__cell	SYK__cyto;BTK__cyto;BLK__cyto;LYN__cyto	9852257	ECO:0000033	B-cell receptor signaling; ibrutinib (BTK inhibitor) anti-fibrotic rationale	-	confirmed	33077936;35551173;36030136	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_008	M5	binding	CD20 (MS4A1) is the rituximab binding target on mature B cells	MS4A1__pm	rituximab_bound_Bcell__pm		37683180	ECO:0000033	RECITAL trial target in SSc-ILD	-	confirmed	39696439;38381673;32482755	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M4_009	M5	transcription	Sustained BCR + CD40-CD40L signaling induces PRDM1 (BLIMP1), XBP1, IRF4	CD40__pm;CD154__pm	BLIMP1__nuc;XBP1__nuc;IRF4__nuc		36081178	ECO:0000314	plasma cell differentiation TF battery	-	confirmed		original-curation	human-original	
ssc_M4_010	M5	binding	BAFF (TNFSF13B) binds BCMA on plasma cells, promotes survival	TNFSF13B__ext;BCMA__ext	BAFF_BCMA_complex__pm		10801128	ECO:0000314	belimumab target rationale in SSc	pmid corrected 2026-06-24 (verified vs PubMed) (was 11226167)	confirmed		original-curation	human-original	
ssc_M4_011	M5	contributes	Plasma cells secrete anti-Topo-I, anti-RNApol-III, anti-CENP-A/B autoantibodies	BLIMP1__nuc;XBP1__nuc;IRF4__nuc	phenotype_autoAb_production__ext			ECO:0000305	SSc-defining autoAb signatures	-	phenotype_aggregation		claude-reclassify/2026-06-05	AI-verified 2026-06-08 (reclassification)	
ssc_crosstalk_001	crosstalk	activation	IFN-I primes dermal fibroblasts toward pro-fibrotic transcriptional state (M1→M2)	IFNB1__ext;IFNA1__ext	fibroblast_proFibrotic__cell		35686918	ECO:0000305	IFN priming; modulates TGF-β-driven fibroblast response — CAVEAT: IFN-I role in SSc skin fibrosis is debated (protective vs pathogenic, PMID 31436583)	co-author upgrade | citation attached 2026-06-19 (reclassify-audit): innate DNA/STING -> type-I IFN -> SSc fibroblast activation (PMID 35686918; cGAS->myofibroblast PMID 40374521). CAVEAT: IFN-I role in SSc skin fibrosis is debated, protective vs pathogenic (PMID 31436583).	conceptual_bridge	40374521;31436583	claude-reclassify/2026-06-05	AI-verified 2026-06-08 (reclassification)	
ssc_crosstalk_002	crosstalk	activation	CXCL4 acts directly on dermal fibroblasts (M1→M2 bypass of IFN)	PF4__ext	fibroblast_proFibrotic__cell		24350901	ECO:0000270	van Bon 2014 — CXCL4 → fibroblast direct effect	-	confirmed		original-curation	human-original	
ssc_crosstalk_003	crosstalk	activation	IFN-I primes pDC and B-cell class switching (M1→M4/M5)	IFNB1__ext;IFNA1__ext	pDC_activated__cell;BCR_activated__cell		40341181	ECO:0000270	IFN-I drives adaptive immune amplification	co-author upgrade | citation attached 2026-06-19 (reclassify-audit): type-I IFN amplifies autoreactive B-cell differentiation in SSc (PMID 40341181); pDC are major IFN-I producers via nucleic-acid/TLR sensing (PMID 38553621).	conceptual_bridge	38553621;31436583	claude-reclassify/2026-06-05	AI-verified 2026-06-08 (reclassification)	
ssc_crosstalk_004	crosstalk	transcription	IL-6 → STAT3 → pro-fibrotic fibroblast transcription (M4→M2; tocilizumab rationale)	IL6__ext	fibroblast_proFibrotic__cell;COL1A1__ext	STAT3__cyto	24550394	ECO:0000270	focuSSced trial supports IL-6R blockade in SSc skin/lung	tocilizumab (Khanna 2016); pmid corrected 2026-06-24 (verified vs PubMed) (was 27156434)	confirmed		original-curation	human-original	
ssc_crosstalk_005	crosstalk	transcription	IL-13/STAT6 → ECM transcription in fibroblasts (M4→M2; romilkimab rationale)	IL13__ext	COL1A1__ext;FN1__ecm	STAT6__cyto	15271999	ECO:0000314	direct Th2 → fibroblast ECM pathway	pmid corrected 2026-06-24 (verified vs PubMed) (was 17050694)	confirmed		original-curation	human-original	
ssc_crosstalk_006	crosstalk	state_change	TGF-β1 from M2 drives EndMT in M3 endothelial cells (M2→M3)	TGFB1__ext;SMAD3p_SMAD4__nuc	SNAI1__nuc;CDH5_repressed__pm		21425122	ECO:0000270	canonical EndMT initiator	-	confirmed		original-curation	human-original	
ssc_crosstalk_007	crosstalk	state_change	EndMT-derived perivascular fibroblasts join myofibroblast pool (M3→M2)	CDH2__pm;FAP__pm	phenotype_myofibroblast_activation__cell		28062404	ECO:0000270	conceptual bridge; explains perivascular fibrosis distribution	citation attached 2026-06-19 (reclassify-audit): EndoMT-derived perivascular cells join the myofibroblast pool (PMID 28062404; review 33772754).	conceptual_bridge	33772754	claude-reclassify/2026-06-05	AI-verified 2026-06-08 (reclassification)	
ssc_crosstalk_008	crosstalk	activation	TGF-β1 → CTGF autocrine amplifier loop within M2	TGFB1__ext	CCN2__ext;fibroblast_proFibrotic__cell		27734393	ECO:0000314	autocrine fibroblast amplifier	pmid corrected 2026-06-24 (verified vs PubMed) (was 16007098)	confirmed		original-curation	human-original	11698729
ssc_M2_023	M2	transcription	SMAD3:SMAD4 induces COL1A2, COL5A1, COL5A2, TNC transcription (extended ECM battery)	SMAD3p_SMAD4__nuc	COL1A2__ext;COL5A1__ext;COL5A2__ext;TNC__ecm	SMAD3p_SMAD4__nuc	16319104	ECO:0000314	completes the ECM transcription panel	co-author upgrade	confirmed	26747705;35541902;40064862	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M2_024	M2	transcription	YAP1 / TAZ co-activates mechanosensitive ECM genes including COL5A1 + TNC	YAP1_TAZ_active__nuc	COL5A1__ext;TNC__ecm;COL1A1__ext	YAP1_TAZ_active__nuc	39329703	ECO:0000033	mechanotransduction-driven ECM contribution	-	confirmed	37934103;38945958;39051998	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M2_025	M2	state_change	TAZ enters the YAP1/TAZ active nuclear complex	TAZ__cyto;YAP1__cyto	YAP1_TAZ_active__nuc		21654799	ECO:0000314	YAP/TAZ shuttling under mechanical signal	-	confirmed	37934103;38945958;39051998	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_015	M3	binding	ANGPT1 binds TEK on endothelial cells, stabilises quiescent vasculature	ANGPT1__ext;TEK__pm	ANGPT1_TEK_complex__pm		23182855	ECO:0000033	vascular stabilisation; reduced in SSc skin	-	confirmed	40570741;34643357;28045923	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_016	M3	binding	ANGPT2 competes with ANGPT1 at TEK, destabilises endothelium	ANGPT2__ext;TEK__pm	ANGPT2_TEK_complex__pm		40029709	ECO:0000033	Tie2 antagonism; elevated in SSc plasma	-	confirmed	33375813;38299345;39206543	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_017	M3	transcription	TGF-β/SMAD3 signalling drives the EndMT master-TF programme, inducing TWIST1 transcription	SMAD3p_SMAD4__nuc	TWIST1__nuc	SMAD3p_SMAD4__nuc	16123809	ECO:0000033	completes the EndMT TF triplet	reworded 2026-06-05: dropped unsupported SNAI1→TWIST1 causality; TGF-β/SMAD→TWIST1 per EMT-TF programme (PMID 16123809)	confirmed	26747705;35541902;40064862	claude-lit-mine/2026-06-05	AI-verified 2026-06-08	
ssc_M3_018	M3	transcription	SNAI1/2 represses CDH5 + PECAM1 + VWF + TEK transcription (loss of endothelial identity)	CDH5__pm;CD31__pm;VWF__pm;TEK__pm	CDH5_repressed__pm	SNAI1__nuc;SNAI2__nuc	28062404	ECO:0000033	canonical EndMT loss-of-identity panel	-	confirmed	38451818;39913299;23665016	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
ssc_M3_019	M3	catalysis	COX-2 (PTGS2) produces thromboxane TXA2, signals via TBXA2R for vasoconstriction	COX_2__er	TBXA2R_signal__pm	TBXA2R__pm	37321373	ECO:0000033	COX-2/TXA2 axis; SSc digital ischaemia	- | paywalled — canonical mechanism, abstract-verified; full-text not required (tiered policy)	confirmed	16502481;35728047;32948830	claude-lit-mine/2026-06-05	AI-verified 2026-06-08	
ssc_M3_020	M3	transcription	HIF1A under hypoxia partners with ARNT in nucleus	HIF1A_active__nuc;ARNT__cyto	HIF1A_ARNT__nuc		7539918	ECO:0000314	HIF1A complex assembly	-	confirmed	39477683;34762860;28366537	fulltext-verified-claude/2026-06-05	AI-verified 2026-06-08 (full-text)	
